prodName,lowPrice,highPrice,avgPrice,place,unitInfo
筐鸡蛋,4.75,4.89,4.82,,斤
散鸡蛋,5.2,5.3,5.25,,斤
生鸭蛋,7.3,8.0,7.65,,斤
熟鸭蛋,8.3,9.5,8.9,,斤
松花蛋,7.5,9.5,8.5,,斤
鹅蛋,19.5,21.0,20.25,,斤
鹌鹑蛋,5.4,6.5,5.95,,斤
柴鸡蛋,5.0,9.7,7.35,,斤
乌鸡蛋,8.0,9.0,8.5,,斤
变蛋,0.7,1.0,0.85,,个
鸵鸟蛋,90.0,150.0,120.0,,个
鸽子蛋,3.2,3.3,3.25,,个
活珠子,1.3,1.5,1.4,,个
山鸡蛋,1.1,1.2,1.15,,个
鲤鱼,6.0,6.0,6.0,,斤
鲤鱼,6.0,6.5,6.25,,斤
草鱼,6.0,6.5,6.25,,斤
草鱼,6.5,7.0,6.75,,斤
草鱼,7.5,8.5,8.0,,斤
鲫鱼,10.0,11.0,10.5,,斤
鲫鱼,11.0,11.5,11.25,,斤
鲫鱼,11.5,12.0,11.75,,斤
胖头鱼,10.0,11.0,10.5,,斤
胖头鱼,9.5,10.0,9.75,,斤
武昌鱼,9.5,11.0,10.25,,斤
鲢鱼,3.5,4.0,3.75,,斤
鲢鱼,3.0,3.5,3.25,,斤
鲶鱼,5.0,6.0,5.5,,斤
松花鱼,9.0,11.0,10.0,,斤
黑鱼,12.5,13.0,12.75,,斤
黑鱼,14.0,14.0,14.0,,斤
黄鳝,29.0,30.0,29.5,,斤
黄鳝,38.0,40.0,39.0,,斤
罗非鱼,10.0,11.0,10.5,,斤
虹鳟鱼,24.0,25.0,24.5,,斤
鲟鱼,21.0,22.0,21.5,,斤
青鱼,13.0,15.0,14.0,,斤
桂鱼,35.0,38.0,36.5,,斤
嘎鱼,22.0,23.0,22.5,,斤
嘎鱼,21.0,22.0,21.5,,斤
淡水鲈鱼,21.5,23.0,22.25,,斤
泥鳅,10.0,15.0,12.5,,斤
清江鱼,8.5,10.0,9.25,,斤
三文鱼肉,90.0,120.0,105.0,,斤
三文鱼肉,70.0,80.0,75.0,,斤
多春鱼,16.0,18.0,17.0,,斤
燕鲅,18.0,23.0,20.5,,斤
鲐鲅,5.0,6.0,5.5,,斤
小黄花鱼,6.5,10.0,8.25,,斤
鲽鱼,30.0,32.0,31.0,,斤
红星斑,170.0,180.0,175.0,,斤
多宝鱼,25.0,28.0,26.5,,斤
石斑鱼,40.0,45.0,42.5,,斤
鳕鱼,5.0,6.5,5.75,,斤
牛尾巴鱼,10.0,18.0,14.0,,斤
小公鱼,11.0,13.0,12.0,,斤
带鱼,8.5,10.0,9.25,网,斤
带鱼,13.0,14.0,13.5,网,斤
带鱼,14.0,15.0,14.5,网,斤
带鱼,11.0,13.0,12.0,吊,斤
